# Результаты планирования роботов
# Makespan (общее время выполнения всех операций, мс):
16.74

# Робот R1, количество точек маршрута = 72
# Формат: t (мс)   X   Y   Z
R1 72
t=5.75ms   x=4.435   y=-0.087   z=0.007
t=5.96ms   x=4.491   y=-0.100   z=-0.000
t=6.72ms   x=4.491   y=-0.100   z=0.000
t=6.72ms   x=4.491   y=-0.100   z=0.000
t=6.80ms   x=4.497   y=-0.094   z=0.001
t=6.89ms   x=4.517   y=-0.076   z=0.004
t=6.97ms   x=4.549   y=-0.045   z=0.010
t=7.05ms   x=4.594   y=-0.003   z=0.018
t=7.13ms   x=4.652   y=0.052   z=0.028
t=7.21ms   x=4.712   y=0.109   z=0.038
t=7.30ms   x=4.759   y=0.153   z=0.047
t=7.38ms   x=4.794   y=0.186   z=0.053
t=7.46ms   x=4.815   y=0.206   z=0.056
t=7.54ms   x=4.824   y=0.214   z=0.058
t=8.30ms   x=4.813   y=0.204   z=0.056
t=8.30ms   x=4.813   y=0.204   z=0.056
t=8.39ms   x=4.819   y=0.209   z=0.055
t=8.47ms   x=4.839   y=0.226   z=0.052
t=8.55ms   x=4.871   y=0.254   z=0.046
t=8.63ms   x=4.916   y=0.292   z=0.038
t=8.71ms   x=4.974   y=0.342   z=0.028
t=8.79ms   x=5.036   y=0.394   z=0.017
t=8.87ms   x=5.085   y=0.436   z=0.009
t=8.95ms   x=5.121   y=0.466   z=0.003
t=9.03ms   x=5.144   y=0.486   z=-0.001
t=9.11ms   x=5.154   y=0.494   z=-0.003
t=9.72ms   x=5.136   y=0.479   z=0.000
t=9.72ms   x=5.136   y=0.479   z=0.000
t=9.81ms   x=5.133   y=0.470   z=0.001
t=9.89ms   x=5.124   y=0.444   z=0.002
t=9.97ms   x=5.108   y=0.399   z=0.005
t=10.06ms   x=5.086   y=0.338   z=0.009
t=10.14ms   x=5.059   y=0.258   z=0.014
t=10.23ms   x=5.030   y=0.178   z=0.019
t=10.31ms   x=5.008   y=0.115   z=0.023
t=10.40ms   x=4.993   y=0.070   z=0.026
t=10.48ms   x=4.983   y=0.043   z=0.028
t=10.57ms   x=4.980   y=0.033   z=0.028
t=11.18ms   x=4.981   y=0.037   z=0.028

# Робот R5, количество точек маршрута = 72
# Формат: t (мс)   X   Y   Z
R5 72
t=0.00ms   x=-0.121   y=1.400   z=0.000
t=0.09ms   x=-0.112   y=1.407   z=0.000
t=0.18ms   x=-0.085   y=1.427   z=0.000
t=0.27ms   x=-0.039   y=1.460   z=0.000
t=0.36ms   x=0.024   y=1.507   z=0.000
t=0.46ms   x=0.106   y=1.567   z=0.000
t=0.55ms   x=0.196   y=1.633   z=0.000
t=0.64ms   x=0.268   y=1.685   z=0.000
t=0.73ms   x=0.322   y=1.725   z=0.000
t=0.82ms   x=0.358   y=1.751   z=0.000
t=0.91ms   x=0.375   y=1.764   z=0.000
t=2.06ms   x=0.333   y=1.733   z=0.000
t=2.06ms   x=0.333   y=1.733   z=0.000
t=2.18ms   x=0.322   y=1.719   z=0.003
t=2.29ms   x=0.290   y=1.678   z=0.014
t=2.41ms   x=0.236   y=1.610   z=0.031
t=2.52ms   x=0.160   y=1.514   z=0.055
t=2.63ms   x=0.068   y=1.397   z=0.085
t=2.75ms   x=-0.025   y=1.279   z=0.115
t=2.86ms   x=-0.101   y=1.183   z=0.139
t=2.98ms   x=-0.155   y=1.115   z=0.156
t=3.09ms   x=-0.187   y=1.074   z=0.167
t=3.21ms   x=-0.198   y=1.060   z=0.170
t=4.36ms   x=-0.198   y=1.060   z=0.170
t=4.36ms   x=-0.198   y=1.060   z=0.170
t=4.47ms   x=-0.188   y=1.074   z=0.167
t=4.58ms   x=-0.158   y=1.116   z=0.156
t=4.70ms   x=-0.109   y=1.187   z=0.139
t=4.81ms   x=-0.039   y=1.285   z=0.115
t=4.93ms   x=0.046   y=1.407   z=0.085
t=5.04ms   x=0.131   y=1.528   z=0.055
t=5.15ms   x=0.201   y=1.626   z=0.031
t=5.27ms   x=0.250   y=1.697   z=0.014
t=5.38ms   x=0.280   y=1.739   z=0.003
t=5.50ms   x=0.290   y=1.753   z=0.000
t=5.99ms   x=0.290   y=1.753   z=0.000
t=5.99ms   x=0.290   y=1.753   z=0.000
t=6.09ms   x=0.280   y=1.742   z=0.002
t=6.20ms   x=0.249   y=1.709   z=0.008
t=6.30ms   x=0.197   y=1.653   z=0.018
t=6.41ms   x=0.124   y=1.575   z=0.032
t=6.52ms   x=0.032   y=1.476   z=0.050
t=6.62ms   x=-0.060   y=1.378   z=0.068
t=6.73ms   x=-0.133   y=1.300   z=0.082
t=6.84ms   x=-0.185   y=1.244   z=0.092
t=6.94ms   x=-0.216   y=1.211   z=0.098
t=7.05ms   x=-0.226   y=1.200   z=0.100
t=7.54ms   x=-0.226   y=1.200   z=0.100
t=7.54ms   x=-0.226   y=1.200   z=0.100
t=7.65ms   x=-0.216   y=1.211   z=0.098
t=7.75ms   x=-0.185   y=1.246   z=0.092
t=7.86ms   x=-0.135   y=1.303   z=0.082
t=7.97ms   x=-0.063   y=1.384   z=0.068
